Intersection,CrashCount,Latitude,Longitude
CST MADISON AVE & CST W 45TH ST,59,39.0461537,-94.5988082
CST GRANDVIEW RD & IS 435,59,38.9360611,-94.5412221
CST GREGORY BLVD & CST TROOST AVE,59,38.99877559999999,-94.5753167
CST E 99TH ST & CST HOLMES RD,59,38.9482794,-94.5823625
CST BANNISTER RD & CST JAMES A REED RD,59,38.9517573,-94.494033
CST E 27TH ST & CST VAN BRUNT BLVD,58,39.0760852,-94.52054509999999
CST JACKSON AVE & IS 70,58,39.1129401,-94.53268539999999
CST E 39TH ST & CST PROSPECT AVE,58,39.055437,-94.553588
CST BENTON BLVD & CST TRUMAN RD,58,39.0946681,-94.5494471
CST BENTON BLVD & CST E 9TH ST,58,39.10226249999999,-94.54428279999999
CST INDIANA AVE & CST TRUMAN RD,58,39.0943946,-94.5424115
CST WALNUT ST & IS 670,58,38.8113283,-94.5332666
CST E 39TH ST & CST THE PASEO,58,39.0559205,-94.5675
CST LINWOOD BLVD & CST TROOST AVE,58,39.0686824,-94.5714158
CST N BROADWAY BLVD & IS 670,57,39.2204097,-94.5853873
CST E 35TH ST & CST EUCLID AVE,57,39.0628623,-94.56016389999999
CST CLEAVER II BLVD & CST THE PASEO,57,39.0416254,-94.5681541
CST MILL ST & CST WESTPORT RD,57,39.0524458,-94.59231400000002
CST CHOUTEAU TRFY & CST NE VIVION RD,57,39.1879539,-94.54533529999999
CST BANNISTER RD & CST WORNALL RD,56,38.9561543,-94.59577089999999
CST E 27TH ST & CST JACKSON AVE,56,39.076493,-94.5340858
CST MADISON AVE & CST W 44TH ST,56,39.0480044,-94.5970923
CST MAIN ST & IS 670,56,39.096553,-94.5872728
CST ARMOUR BLVD & CST GILLHAM RD,55,39.063629,-94.5810202
CST GRAND BLVD & CST TRUMAN RD,55,39.0963242,-94.5810932
CST SOUTHWEST TRFY & CST W 27TH ST,55,39.0776343,-94.5940577
CST BROOKLYN AVE & IS 70,55,39.1136794,-94.555747
CST DR MARTIN LUTHER KING JR BLVD & CST EASTWOOD TRFY,55,39.029539,-94.50880289999999
CST OLDHAM RD & IS 435,55,38.9833706,-94.5080501
CST CLEVELAND AVE & CST DR MARTIN LUTHER KING JR BLVD,55,39.0359906,-94.5407723
CST E 87TH ST & CST OLD SANTA FE RD,54,38.9664369,-94.5003704
CST 155TH ST & US 71,54,39.0966226,-94.5729289
CST E 18TH ST & US 71,54,39.0966226,-94.5729289
CST E 51ST ST & CST SWOPE PKWY,54,39.0333631,-94.54329369999999
CST ASKEW AVE & CST TRUMAN RD,54,39.09436120000001,-94.5401246
CST E 23RD ST & CST TOPPING AVE,54,39.08313589999999,-94.5152963
CST WYANDOTTE ST & MO 150,54,38.873126,-94.60304719999999
CST E 39TH ST & US 71,54,39.0966226,-94.5729289
CST CLEAVER II BLVD & CST OAK ST,53,39.041981,-94.5823212
CST BLUE RIDGE BLVD & CST HOLMES RD,53,38.889693,-94.5860136
CST BROADWAY BLVD & CST LINWOOD BLVD,53,39.0674956,-94.5901449
CST BANNISTER RD & CST RAYTOWN RD,53,38.9506205,-94.4660727
CST INDEPENDENCE AVE & CST WINNER RD,52,39.1048298,-94.5083702
CST INDIANA AVE & CST LINWOOD BLVD,52,39.0677579,-94.5437403
CST BLUE RIDGE CUTOFF & RP 103829,52,39.0348653,-94.4776152
CST BLUE RIDGE BLVD & CST E 104TH ST,52,38.9358691,-94.5084258
IS 670 & US 71,52,39.1836053,-94.590282
IS 35 & US 71,52,39.16703589999999,-94.55900559999999
CST CLEAVER II BLVD & US 71,52,39.0966226,-94.5729289
CST PITTMAN RD & IS 70,52,39.0410325,-94.4618454
CST BELLEVIEW AVE & CST WESTPORT RD,52,39.0502265,-94.5978047
IS 29 & IS 35,52,39.16703589999999,-94.55900559999999
CRD STATE LINE RD & CST CARONDELET DR,51,38.93516930000001,-94.607941
CST N OAK TRFY & RP 277200,51,39.0997265,-94.5785667
CST TRUMAN RD & CST VAN BRUNT BLVD,51,39.0941663,-94.5234286
CST W 81ST ST & CST WARD PKWY,51,38.981844,-94.60661080000001
CST N ELDON AVE & MO 210,51,39.1549968,-94.47724269999999
CST WARD PKWY & CST WORNALL RD,51,38.9591702,-94.5954285
CST W 17TH ST & IS 35,51,39.0934572,-94.5838002
IS 435 & US 71,50,39.3421273,-94.7411276
CST N ST CLAIR AVE & CST NW BARRY RD,50,39.2467705,-94.6470473
CST MADISON AVE & CST W 43RD ST,50,39.0494769,-94.5925391
CST E 75TH ST & CST HOLMES RD,50,38.9917205,-94.58029069999999
CST LINWOOD BLVD & CST PROSPECT AVE,50,39.0680705,-94.5529398
CST N HIGHLAND AVE & CST NE VIVION RD,49,39.181089,-94.55898789999999
CST OAK ST & IS 670,49,39.1052797,-94.57762389999999
CST BLUE RIDGE BLVD & CST E 83RD ST,49,38.9736894,-94.49412249999999
CST NOLAND RD & MO 350,49,38.9655055,-94.42921129999999
CST BEARDSLEY RD & IS 670,49,39.1056086,-94.59320249999999
CST GREGORY BLVD & CST THE PASEO,49,38.9983431,-94.5640525
CST GREGORY BLVD & CST WORNALL RD,49,38.9996216,-94.5938572
CST NW AMBASSADOR DR & CST NW BARRY RD,48,39.2468232,-94.65132120000001
CST BROADWAY BLVD & CST W 5TH ST,48,39.107591,-94.58821990000001
CST E 23RD ST & IS 70,48,39.0844267,-94.5477045
CST E 27TH ST & CST PROSPECT AVE,48,39.0771114,-94.5525025
CST N CHURCH RD & CST NE 82ND TER,48,39.2414215,-94.4613852
CST BLUE RIDGE BLVD & CST RED BRIDGE RD,48,38.9224663,-94.50935109999999
CST E 59TH ST & CST TROOST AVE,48,39.0199547,-94.5742167
CST MAIN ST & CST TRUMAN RD,47,39.0963998,-94.5833556
CST NW 68TH ST & US 169,47,39.2115143,-94.589467
CST E 104TH ST & IS 435,47,38.939615,-94.5869343
CST RAYTOWN RD & IS 435,47,38.9709859,-94.465107
CST E 31ST ST & CST INDIANA AVE,47,39.0695647,-94.5436512
CST CLEVELAND AVE & CST GREGORY BLVD,47,38.9983302,-94.5428912
CST INDEPENDENCE AVE & IS 35,47,39.1073253,-94.5810887
IS 435 & MO 210,46,39.1081924,-94.5784418
IS 670 & IS 70,46,39.0962819,-94.5676299
IS 35 & RP 114945,46,37.9418219,-96.7515814
CST N BOARDWALK AVE & CST NW AMBASSADOR DR,46,39.2524141,-94.64958039999999
CST N FLINTLOCK RD & CST NE 83RD TER,46,39.2436002,-94.4654791
CST N CONGRESS AVE & CST NW BARRY RD,46,39.2470638,-94.668155
CST E 39TH ST & CST GILLHAM RD,46,39.0563638,-94.5800489
CST CLEVELAND AVE & CST TRUMAN RD,45,39.0942219,-94.53782749999999
CST MILL ST & CST SOUTHWEST TRFY,45,39.0639355,-94.5950479
CST GRAND BLVD & CST PERSHING RD,45,39.0841808,-94.5816696
CST CHESTNUT AVE & CST E 12TH ST,45,39.0987926,-94.549267
CST BENTON BLVD & CST CLEAVER II BLVD,45,39.0387527,-94.5420563
CST BLUE RIDGE BLVD & RP 103976,45,38.9519734,-94.5080648
CST BENTON BLVD & CST E 39TH ST,44,39.0552065,-94.5467238
CST E 24TH ST & CST HARDESTY AVE,44,39.0813329,-94.5200019
CST E 9TH ST & CST PROSPECT AVE,44,39.1024991,-94.5512485
CST BROADWAY BLVD & CST W 38TH ST,43,39.0579574,-94.5906997
CST FRONT ST & IS 29,43,39.1310685,-94.5321119
CST CLEAVER II BLVD & CST CLEVELAND AVE,43,39.0383495,-94.54065179999999
IS 435 & IS 470,43,38.9385141,-94.54391439999999
IS 29 & RP 6072,43,44.0601515,-96.7587425
CST INDEPENDENCE AVE & CST MONROE AVE,43,39.1058645,-94.5376907
CST DR MARTIN LUTHER KING JR BLVD & CST TROOST AVE,43,39.0377963,-94.57324829999999
CST N MULBERRY DR & CST NW BRIARCLIFF PKWY,43,39.1678447,-94.59719419999999
CST GREGORY BLVD & CST HOLMES RD,43,38.99900540000001,-94.5799351
CST E 18TH ST & CST THE PASEO,42,39.0912444,-94.5644099
CST CLEVELAND AVE & CST E 23RD ST,42,39.0838829,-94.53835210000001
CST EWING AVE & CST INDEPENDENCE AVE,42,39.1045319,-94.5027846
CST GREGORY BLVD & CST SWOPE MEMORIAL DR,42,38.9960658,-94.51829590000001
CST E 18TH ST & IS 70,42,39.0917677,-94.58280289999999
CST 47TH ST & CST STERLING AVE,42,39.03689370000001,-94.44811070000002
CST INDEPENDENCE AVE & CST INDIANA AVE,42,39.106023,-94.5423039
CST TOPPING AVE & CST TRUMAN RD,42,39.0939895,-94.5147552
CST STADIUM DR & IS 70,42,39.0569784,-94.49632
CST HILLCREST RD & IS 470,42,38.9562849,-94.5210571
CST NW ENGLEWOOD RD & US 169,42,39.2115143,-94.589467
CST BLUE PKWY & CST NOLAND RD,42,38.9655055,-94.42921129999999
CST BENTON BLVD & IS 70,41,39.1131885,-94.5441994
CST BALTIMORE AVE & IS 670,41,39.1057458,-94.5842399
CST ARMOUR BLVD & CST BROADWAY BLVD,41,39.063967,-94.5903515
CST CHOUTEAU TRFY & CST TOPPING AVE,41,39.081376,-94.5154054
CST E 55TH ST & CST TROOST AVE,41,39.0271805,-94.57380859999999
CST BANNISTER RD & CST HILLCREST RD,41,38.95307469999999,-94.5219767
CST N OAK TRFY & CST NE ENGLEWOOD RD,41,39.1957071,-94.57654749999999
IS 435 & RP 5930,41,39.1945658,-94.76269
CST E 89TH ST & CST TROOST AVE,41,38.96621080000001,-94.5768779
CST DR MARTIN LUTHER KING JR BLVD & CST THE PASEO,41,39.0396502,-94.56838859999999
CST E 59TH ST & CST SWOPE PKWY,41,39.0188069,-94.541675
CST E 8TH ST & CST THE PASEO,41,39.1038676,-94.5637971
CST N BRIGHTON AVE & CST NE PARVIN RD,41,39.1670681,-94.5214604
CST BROOKLYN AVE & CST E 31ST ST,41,39.070031,-94.5574762
MO 9 & US 169,41,39.38890250000001,-94.58388339999999
CST BRUCE R WATKINS DR & CST CLEAVER II BLVD,41,39.0623258,-94.5609012
CST ARMOUR BLVD & CST MAIN ST,41,39.0637865,-94.5856905
CST E 39TH ST & CST INDIANA AVE,40,39.0551294,-94.544376
CST BROADWAY BLVD & CST SOUTHWEST BLVD,40,39.0877538,-94.5890234
CST E 31ST ST & CST THE PASEO,40,39.0703453,-94.5667206
CST BROOKLYN AVE & CST TRUMAN RD,40,39.0949026,-94.55623779999999
CST W MEYER BLVD & CST WARD PKWY,40,39.0000236,-94.6030197
CST CLEAVER II BLVD & CST WOODLAND AVE,40,39.0433864,-94.5635357
CST W 39TH ST & CST WYANDOTTE ST,40,39.0566597,-94.58844309999999
CST N BRIGHTON AVE & CST NE 48TH ST,40,39.1807431,-94.5213016
CST E 51ST ST & CST TROOST AVE,40,39.0344517,-94.5733992
CST INDEPENDENCE AVE & CST PROSPECT AVE,39,39.1063143,-94.5508224
CST E 12TH ST & CST HARDESTY AVE,39,39.09776,-94.5191797
CST 47TH ST & CST RAYTOWN RD,39,39.0344768,-94.4739396
CST N FLINTLOCK RD & CST NE COOKINGHAM DR,39,39.2703989,-94.4608066
RP 6013 & US 71,39,39.0174123,-94.5539129
CST N OAK TRFY & RP 277198,39,39.0997265,-94.5785667
CST CLEVELAND AVE & CST LINWOOD BLVD,39,39.0676065,-94.5391508
CST CLEVELAND AVE & CST E 27TH ST,39,39.0766439,-94.5386978
CST THE PASEO & RP 279003,39,39.0997265,-94.5785667
CST FRONT ST & CST UNIVERSAL AVE,39,39.1303721,-94.5063071
CST MILL CREEK PKWY & CST WARD PKWY,39,39.0407883,-94.5881187
CST W 79TH ST & CST WARD PKWY,39,38.9855483,-94.6060131
IS 470 & US 71,39,39.0125695,-94.5547036
CST ROANOKE PKWY & CST W 47TH ST,39,39.0424792,-94.5973595
CST E 85TH ST & CST HICKMAN MILLS DR,38,38.972739,-94.54900289999999
CST N OAK TRFY & CST NE 85TH TER,38,39.2485232,-94.5758795
CST CHOUTEAU TRFY & IS 35,38,39.1843686,-94.5412689
IS 435 & RP 5924,38,39.1945658,-94.76269
CST E 43RD ST & CST THE PASEO,38,39.0487477,-94.5678973
CST CLEAVER II BLVD & CST MAIN ST,38,39.0420945,-94.5866186
CST LINWOOD BLVD & CST MICHIGAN AVE,38,39.0684229,-94.56098449999999
CST HARDESTY AVE & CST ST JOHN AVE,38,39.11245050000001,-94.51871159999999
CST WORNALL RD & RP 227840,38,38.9669343,-94.5954431
CST BARRY RD & CST N CHURCH RD,38,39.2446127,-94.461852
CST JACKSON AVE & CST LINWOOD BLVD,38,39.0674703,-94.53456059999999
CST E 12TH ST & CST TOPPING AVE,38,39.0976148,-94.51456870000001
CST SNI A BAR RD & IS 435,37,39.0350936,-94.4953261
CST E 39TH ST & CST WOODLAND AVE,37,39.0557804,-94.562862
CST PENNSYLVANIA AVE & CST WESTPORT RD,37,39.0528509,-94.59145749999999
IS 435 & MO 152,37,39.2549704,-94.6047934
CST BANNISTER RD & RP 6013,37,39.0997265,-94.5785667
CST E WINNER RD & CST MANCHESTER AVE,37,39.105563,-94.4912986
CRD STATE LINE RD & IS 435,37,39.09312970000001,-94.6070165
CST BANNISTER RD & RP 5928,37,39.0997265,-94.5785667
CST LOCUST ST & IS 670,37,39.1703453,-94.5749528
CST E 39TH ST & CST HARRISON PKWY,36,39.056332,-94.5792518
CST ARCHIBALD AVE & CST BROADWAY BLVD,36,39.052439,-94.589866
CST E 31ST ST & CST GILLHAM RD,36,39.07075,-94.5777294
CST N OAK TRFY & CST NE 96TH ST,36,39.2676733,-94.57576680000001
RP 282758 & US 71,36,39.0966226,-94.5729289
CST BROOKLYN AVE & CST E 9TH ST,36,39.1026406,-94.5558765
CST RED BRIDGE RD & CST WORNALL RD,36,38.9265147,-94.59260239999999
CST W 101ST TER & CST WORNALL RD,36,38.9440505,-94.59651509999999
CST E 27TH ST & CST INDIANA AVE,36,39.07679510000001,-94.54329210000002
